Company Name,Digital Maturity Score,Headquaters,Primary Category,Secondary Category,Peak Sales Month,Avg Revenue/Business,Locations Count,Business Type,Annual Revenue,Tech Spend/month,Business Age,Business Model,Revenue Seasonality,Remote-Only Business,Technologies - CMS,Technologies - Analytics and Tracking,Google My Business - Listed,Google My Business - Claimed,Google Reviews,Google Reviews Count,Google Rating,Nextdoor,Nextdoor_Recommendation,Nextdoor_Neighborhood Favorite,Employee Size,Review(s),Ratings,Open Positions,Security Score,Malware,Sensitive Information Security,Caching Enabled,File Compression,Server Response Time,Website CMS,Data Usage,Toll-Free Number,Technologies - Video Calling Platform,Technologies - Email Platform,Technologies - Help Desk,Technologies - Contact Center,Website Page Count,Mobile Friendly,SEO Score,Trust Flow,Local Presence,Domain Age,Social Score,Facebook Business Page,Facebook Likes,Facebook Check-ins,X (Formerly Twitter) Business Account,X (Formerly Twitter) Followers,Posts,YouTube Channel,LinkedIn Company Page,Pinterest Business Account,Pinterest Followers,Pinterest Following,Pinterest Pins,Pinterest Boards,Pinterest Domain Verified,Pinterest Verified Merchant,Instagram Business Account,Instagram Posts,Instagram Followers,Instagram Following,HomeAdvisor - Business Since,HomeAdvisor - Is Claimed,HomeAdvisor - Services Offered,HomeAdvisor - Ratings,HomeAdvisor - Total Reviews Count,Thumbtack - Category,Thumbtack - Years in Business,Thumbtack - Estimated Cost,Thumbtack - Rating,Thumbtack - Review count,Thumbtack - No of Times Hired,Thumbtack - Remote Service,Thumbtack - Discounts,Uber Eats,Uber Eats - Review count,Uber Eats - Rating,Android App,iOS App,Advertising Score,Google Ads Presence,Google AdWords Cost,Google Ads Traffic,Display Ads,Facebook Ads,HomeAdvisor - Advertising,ThumbTack - Advertising,Del-Return Policy,Reservation,Online Ordering,Reviews,Product Count,Average Product Price,Featured Products,Promotions,Coupons,Buying Page,Selling Page,Rentals Page,Menu,Scheduler,Premium Calculator,Inventory Tracking,Finance,WishList,Order Tracking,Get A Quote,Estimate Page,FB Shop,Amazon Seller,Monthly App Spend,Plan,Technologies - Ecommerce Tools,Payments
Larson Vans-service Department,92,Yes,Automobile - Repairs & Services,,"Mar, Jun, Jul, Aug",$378.59k,1,Residential,$5M - $10M,-,-,B2B & B2C,"Spring, Summer",No,,"VinLens,Google Analytics",Yes,Yes,Yes,11,2.3,Yes,-,No,51 to 100,-,-,9,50,-,Yes,No,No,342s,Not Detected,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,112,Yes,100,10,Yes,"26Y, 1M",82,Yes,"2,444","4,854",Yes,-,-,Yes,No,Yes,59,11,11,3,No,No,Yes,271,861,"1,231",,,,,,,,,,,,,,No,-,-,No,No,56,Yes,<$1K,0,No,Yes,,,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Dr. Joe N.t. Nguyen Dds,92,Yes,Dentists,,"Jan, Mar, Jun, Aug",$730.00k,1,Commercial,$1K - $500K,$1K - $5K,-,B2C,"Winter, Spring, Summer",No,WordPress.org,Google Analytics,Yes,Yes,Yes,48,5,Yes,31,No,1 to 10,0,0,0,80,No,Yes,No,No,53s,WordPress.org,Medium,No,YouTube,Outlook,Not Detected,Not Detected,23,Yes,95,0,Yes,"16Y, 9M",88,Yes,168,106,Yes,20,0,Yes,Yes,Yes,26,4,82,5,No,No,No,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,31.22,No,No,,,No,No,No,Yes,-,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Belmont Aesthetic & Reconstructive Plastic Surgery,92,Yes,Physicians - Plastic & Cosmetic Surgery,,"Feb, Mar, Aug",$2088.77k,3,Commercial,$500K - $1M,$0 - $1K,-,B2C,"Valentine, Winter, Spring, Summer",No,,"Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,37,4.4,Yes,-,No,1 to 10,0,0,0,80,No,Yes,No,No,102.175s,Not Detected,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,118,Yes,86,16,Yes,"18Y, 1M",100,Yes,"1,261",77,Yes,81,436,Yes,Yes,Yes,20,24,79,5,No,No,Yes,"1,217","1,991",173,,,,,,,,,,,,,,No,-,-,No,No,46,No,0,0,Yes,No,,,Yes,No,No,Yes,-,-,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Banks Quarles,92,Yes,"Heating, Ventilation & Air Conditioning",Heating & Air Conditioning Contractors,"Apr, Jul",$833.03k,1,Commercial,$5M - $10M,$0 - $1K,>10Y,B2B,"Spring, Summer",No,WordPress.org,Google Analytics,Yes,Yes,Yes,1249,4.7,Yes,-,No,11 to 50,0,0,0,50,-,Yes,No,No,62s,WordPress.org,Medium,No,Not Detected,Outlook,Not Detected,Not Detected,68,Yes,90,9,Yes,"25Y, 3M",100,Yes,"1,159",19,Yes,19,248,Yes,Yes,Yes,"5,056",6,0,1,No,No,Yes,406,107,171,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,No,No,70,Yes,$100K - $500K,1.8K,No,Yes,-,No,Yes,No,No,Yes,-,-,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Tca Wireless,92,Yes,Telecommunications Equipment & Services,Cellular Telephone Service & Repair,,,4,-,-,$0 - $1K,>10Y,B2B & B2C,-,No,WordPress.org,Google Analytics,Yes,Yes,Yes,813,4.9,Yes,4,-,-,-,-,1,80,No,Yes,No,No,203.462s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,34,Yes,86,-,Yes,"25Y, 1M",100,Yes,"1,953",34,Yes,418,446,Yes,Yes,Yes,-,-,16,5,No,No,Yes,411,"2,606",551,-,-,-,-,-,,,,,,,,,No,-,-,No,No,56,Yes,<$1K,61.51,No,Yes,-,,Yes,No,No,Yes,350,-,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,-,-,-,Not Detected,Not Detected
"Taylor-made Roofing And Contracting Services, Llc",92,Yes,Contractors - Roofing,,"Apr, May, Jun, Jul, Aug",$467.05k,2,Commercial,$5M - $10M,$0 - $1K,-,B2C,"Spring, Memorial Day, Summer",No,"WordPress.org,Orchard CMS",Google Analytics,Yes,Yes,Yes,61,4.3,Yes,-,No,1 to 10,0,0,0,80,No,Yes,No,No,351.426s,"WordPress.org, Orchard CMS",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,18,Yes,90,22,Yes,"14Y, 4M",100,Yes,359,0,Yes,4,1,Yes,Yes,Yes,-,-,-,-,No,No,Yes,2,128,92,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,No,No,41,Yes,<$1K,0,No,No,-,No,No,No,No,Yes,-,-,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Beta Breakers Software Quality Assurance Labs,92,Yes,Contractors - Computer,Computer Programming & Software,"Oct, Nov, Dec",$1016.25k,1,Commercial,$1K - $500K,$0 - $1K,>10Y,B2B,"Fall, Halloween, Veterans Day, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,6,4.7,No,-,-,1 to 10,0,0,0,80,No,Yes,No,No,2225.055s,WordPress.org,Low,No,Not Detected,Not Detected,Not Detected,Not Detected,58,Yes,90,34,Yes,"27Y, 12M",94,Yes,"3,721",8,Yes,18,480,Yes,Yes,No,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,55,Yes,$1K - $5K,0,Yes,No,,,No,No,No,No,-,-,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-,-,Not Detected,Not Detected
Akridge & Akridge Chiropractic,92,Yes,Chiropractors,,,,2,Commercial,$1M - $2.5M,$1K - $5K,-,B2C,-,No,WordPress.org,"Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,201,4.9,No,-,-,1 to 10,0,0,0,50,-,Yes,No,No,41s,WordPress.org,Medium,No,YouTube,Gmail,Not Detected,Not Detected,21,Yes,95,10,Yes,"14Y, 7M",88,Yes,-,0,Yes,7,2,Yes,Yes,Yes,0,16,0,0,No,No,No,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,2.3,No,No,,,No,No,No,Yes,-,-,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Jellystone Park Warrens,92,Yes,Campgrounds & Rv Parks,Campgrounds & Recreational Vehicle Parks,,,1,Residential,$10M - $25M,$0 - $1K,-,B2C,-,No,WordPress.org,"Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,1131,3.9,No,-,-,101 to 200,0,0,0,80,No,Yes,No,No,158.736s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,31,Yes,86,38,Yes,"25Y, 3M",100,Yes,"19,350","35,151",Yes,95,95,Yes,Yes,Yes,-,-,152,13,Yes,No,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,50,Yes,$1K - $5K,106,No,No,,,Yes,Yes,No,Yes,-,-,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Oak Farm Vineyards,92,Yes,Liquor Stores,Wines Retail,"Jul, Aug",$1590.20k,1,Residential,$500K - $1M,$0 - $1K,3Y - 5Y,B2C,Summer,No,WordPress.org,Google Analytics,Yes,Yes,Yes,323,4.4,Yes,6,No,11 to 50,0,0,0,80,No,Yes,Yes,No,634.202s,WordPress.org,Medium,No,Not Detected,Gmail,Not Detected,Not Detected,28,Yes,90,16,Yes,"17Y, 7M",100,Yes,-,-,Yes,"1,659","1,781",Yes,Yes,Yes,98,93,88,12,No,No,Yes,693,"14,582","1,532",,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,14.13,No,No,,,Yes,Yes,No,No,-,-,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,-,No,-,-,Not Detected,Not Detected
Central City Toyota,92,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$25M - $50M,$0 - $1K,>10Y,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt","Google Analytics,Adobe,Dataium,AutoID",Yes,Yes,Yes,981,4.2,Yes,-,No,101 to 200,8,3.3,6,20,-,Yes,Yes,No,51s,"Joomla, DealerOn, Bolt",Medium,No,YouTube,Not Detected,iPerceptions,Not Detected,96,Yes,86,15,Yes,"29Y, 1M",100,Yes,"4,685","1,667",Yes,246,"3,031",Yes,Yes,Yes,30,1,305,4,No,No,Yes,172,127,120,,,,,,,,,,,,,,No,-,-,No,No,61,Yes,<$1K,1,Yes,Yes,,,No,Yes,No,Yes,-,-,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,-,-,Not Detected,Not Detected
Hot Water Productions,92,Yes,"Spas, Saunas & Hot Tubs",Spas & Hot Tubs Retail,,,1,Commercial,$500K - $1M,$0 - $1K,>10Y,B2C,-,No,"WordPress.org,Joomla,Squarespace,Bolt",Google Analytics,Yes,Yes,Yes,113,4.8,Yes,-,No,1 to 10,0,0,0,20,-,Yes,No,No,71s,"WordPress.org, Joomla, Squarespace, Bolt",Medium,No,Not Detected,Rackspace Email,Not Detected,Not Detected,60,Yes,90,6,Yes,"20Y, 8M",100,Yes,540,87,Yes,124,278,Yes,Yes,Yes,70,101,197,12,No,No,Yes,388,616,"1,163",-,-,-,-,-,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,0,Yes,No,-,,Yes,No,No,Yes,112,-,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Bottle Barn,92,Yes,Liquor Stores,,"Jul, Aug",$1590.20k,2,Commercial,$5M - $10M,$0 - $1K,>10Y,B2C,Summer,No,sNews,"Google Analytics,Hotjar,Google Analytics 4 (GA4)",Yes,Yes,Yes,904,4.7,No,-,-,11 to 50,0,0,0,20,-,Yes,Yes,No,1528s,sNews,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,237,Yes,86,16,Yes,"25Y, 4M",100,Yes,"7,196","1,601",Yes,988,"1,458",Yes,Yes,Yes,162,376,"2,466",70,Yes,No,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,-,No,,,Yes,Yes,No,Yes,10291,$83,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,$20K - $50K,-,Not Detected,Not Detected
Take Charge America,92,Yes,Transportation Services,Carriages Horse For Hire,"Jan, Oct, Nov",$927.51k,1,Commercial,$10M - $25M,$5K - $20K,>10Y,B2B & B2C,"Winter, Fall, Halloween, Veterans Day",No,"WordPress.org,sNews","Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,118,4.8,Yes,4,-,101 to 200,0,0,0,50,No,Yes,No,No,3311.517s,"WordPress.org, sNews",Medium,Yes,Not Detected,Outlook,Not Detected,Not Detected,35,Yes,95,-,Yes,"25Y, 1M",100,Yes,"7,478",253,Yes,803,"4,846",Yes,Yes,Yes,-,-,"3,571",32,Yes,No,Yes,623,219,174,,,,,,,,,,,,,,No,-,-,No,No,55,Yes,$1K - $5K,42,No,No,,,No,No,No,Yes,-,-,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,Not Detected,Not Detected
Bravo Fence Company,92,Yes,Fences,Fence Contractors,"Apr, May, Jun",$0.00k,6,Commercial,$1M - $2.5M,$0 - $1K,-,B2B & B2C,"Spring, Memorial Day, Summer",No,WordPress.org,Google Analytics,Yes,Yes,Yes,1928,4.8,Yes,90,No,11 to 50,0,0,0,80,No,Yes,No,No,3274.188s,WordPress.org,Medium,No,YouTube,Not Detected,Not Detected,Not Detected,78,Yes,86,3,Yes,"14Y, 3M",100,Yes,"1,357",0,Yes,70,427,Yes,Yes,Yes,119,33,20,7,No,No,Yes,341,508,224,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,221.12,Yes,No,-,No,Yes,No,No,Yes,-,-,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Encore Fire Protection,92,Yes,Fire Protection Systems & Services,,,,24,Commercial,-,$0 - $1K,6Y - 10Y,B2B & B2C,-,No,WordPress.org,Google Analytics,Yes,Yes,Yes,20,4,No,-,-,101 to 200,-,-,4,50,-,Yes,No,No,1296s,WordPress.org,High,Yes,Vimeo,Outlook,Not Detected,Not Detected,35,Yes,90,14,Yes,"12Y, 1M",94,Yes,566,47,Yes,173,238,Yes,Yes,No,-,-,-,-,-,-,Yes,29,365,69,,,,,,,,,,,,,,No,-,-,No,No,45,Yes,$1K - $5K,19,No,No,,,Yes,No,No,No,14,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,-,-,Performance,Not Detected,Not Detected
New York School of Interior Design,92,Yes,Personal Coaching,Training & Seminars Program Designing Development & Services,"Apr, May, Jun",$0.00k,4,Commercial,$10M - $25M,$5K - $20K,-,B2B,"Spring, Memorial Day, Summer",No,Squarespace,Google Analytics,Yes,Yes,Yes,18,4.5,Yes,-,No,101 to 200,8,4.5,1,80,No,Yes,Yes,No,159.03s,Squarespace,Medium,No,YouTube,Not Detected,Not Detected,Not Detected,86,Yes,86,29,Yes,-,100,Yes,-,-,Yes,"25,615","5,120",Yes,Yes,Yes,"1,570",189,919,18,No,No,Yes,130,639,271,,,,,,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,134.86,No,No,,No,No,No,No,Yes,-,-,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-,No,-,-,Not Detected,Not Detected
Lamano Law,92,Yes,Law - Criminal,,"Jan, Apr, Oct, Nov, Dec",$722.77k,4,Commercial,$1K - $500K,$0 - $1K,-,B2C,"Winter, Spring, Fall, Halloween, Veterans Day, Xmas",No,"WordPress.org,MyCase","Google Analytics,Google Analytics 4 (GA4)",Yes,Yes,Yes,172,5,No,-,-,1 to 10,0,0,0,20,-,Yes,No,No,50s,"WordPress.org, MyCase",Medium,No,Not Detected,Gmail,Not Detected,Not Detected,99,Yes,86,14,Yes,"13Y, 1M",100,Yes,901,93,Yes,113,742,Yes,Yes,Yes,12,3,53,3,No,No,Yes,-,-,-,,,,,,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,174.93,No,No,,No,No,No,No,Yes,32,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,LawPay
Health Information Associates,92,Yes,Accounting & Bookkeeping Services,Medical Billing Service,"Jan, Feb, Mar",$1834.86k,5,Commercial,$10M - $25M,$1K - $5K,>10Y,B2B,"Winter, Valentine, Spring",No,,"Google Analytics 4 (GA4),Google Analytics",Yes,Yes,Yes,3,5,No,-,-,101 to 200,0,0,0,20,Yes,Yes,No,No,303.726s,Not Detected,Medium,No,Wistia,Not Detected,Not Detected,Not Detected,66,Yes,90,-,Yes,"27Y, 1M",94,Yes,"3,479",107,Yes,191,"1,797",Yes,Yes,No,-,-,-,-,-,-,Yes,128,488,410,,,,,,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,1,-,No,,No,Yes,No,No,Yes,-,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,Not Detected,SynapseFI
"Holtzople Heating, Air Conditioning & Electrical Services",92,Yes,"Heating, Ventilation & Air Conditioning",Air Conditioning Contractors,,,3,Commercial,$2.5M - $5M,$0 - $1K,-,B2B,-,No,WordPress.org,Google Analytics,Yes,Yes,Yes,844,5,Yes,58,No,11 to 50,0,0,0,50,-,Yes,No,No,159s,WordPress.org,Medium,Yes,YouTube,Not Detected,Not Detected,Not Detected,83,Yes,90,25,Yes,"22Y, 7M",100,Yes,"2,616",39,Yes,172,"1,016",Yes,Yes,Yes,140,21,"1,577",36,No,No,Yes,571,212,49,2002,Yes,"Geothermal Heating or Cooling Install, Oil Furnace - Install, Central Air Cleaner Install, Electric Furnace - Repair, Ductless Mini-split A/C Install, Central Air Cleaner Repair, Gas Furnace - Repair, Central Humidifier Repair, Central A/C Repair, Heat Pump Repair, Central Humidifier Install, Central A/C Install, Electric Furnace - Install, Heat Pump Install",Array,19,-,-,-,-,-,-,-,-,No,-,-,No,No,56,Yes,<$1K,0,No,Yes,Yes,No,Yes,No,No,Yes,-,-,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Cincinnati Mini,92,Yes,Motorcycles & Motor Sports,Mini Bike Dealers,"Mar, Aug, Dec",$4278.55k,1,Commercial,-,$1K - $5K,>10Y,B2B,"Spring, Summer, Xmas, Winter",No,"WordPress.org,Bolt","Google Analytics,Clicky",Yes,Yes,Yes,266,4.6,No,-,-,101 to 200,0,0,0,50,No,Yes,Yes,No,202.114s,"WordPress.org, Bolt",Medium,No,Not Detected,Outlook,Not Detected,Not Detected,73,Yes,95,9,Yes,"24Y, 7M",94,Yes,"3,767","1,438",Yes,792,"2,813",Yes,Yes,No,-,-,-,-,-,-,Yes,678,748,400,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,No,Yes,,,Yes,Yes,No,Yes,-,-,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Southeastern Community College,92,Yes,Schools - Public & Academic,Schools,"Sep, Oct, Nov",$2965.96k,1,Residential,$500K - $1M,$1K - $5K,>10Y,B2C,"Labour Day, Fall, Halloween, Veterans Day",No,WordPress.org,Google Analytics,Yes,Yes,Yes,52,4.4,No,-,-,1 to 10,-,-,7,50,No,Yes,Yes,No,559.147s,WordPress.org,Medium,No,Not Detected,Outlook,Not Detected,Not Detected,103,Yes,90,44,Yes,-,94,Yes,"8,200","13,464",Yes,-,-,Yes,Yes,No,-,-,-,-,-,-,Yes,"1,162","1,128",147,,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,0,No,No,,,No,No,No,No,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Copper Creek Kids,92,Yes,Gift Shops,,"Jul, Oct, Dec",$0.00k,1,Commercial,$1K - $500K,$1K - $5K,>10Y,B2C,"Summer, Fall, Halloween, Xmas, Winter",No,"WordPress.org,Joomla,Squarespace,Bolt,Orchard CMS",Google Analytics,-,-,-,-,-,No,-,-,1 to 10,0,0,0,80,No,Yes,No,No,542.245s,"WordPress.org, Joomla, Squarespace, Bolt, Orchard CMS",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,77,Yes,90,54,No,"29Y, 2M",100,Yes,158,0,Yes,"4,425","3,683",Yes,Yes,Yes,-,-,5,11,No,No,Yes,448,"3,634",42,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,No,Yes,,,No,No,No,Yes,-,-,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Lifeskills South Florida,92,Yes,Public & Social Services,Gambling Addiction Treatment,"Mar, Aug, Sep",$78.87k,4,Commercial,$1K - $500K,$0 - $1K,-,B2C,"Spring, Summer, Labour Day, Fall",No,WordPress.org,"Google Analytics,Google Analytics 4 (GA4)",Yes,Yes,Yes,338,4.5,No,-,-,101 to 200,0,0,0,80,No,Yes,Yes,No,195.155s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,66,Yes,90,14,Yes,"17Y, 1M",94,Yes,-,-,Yes,911,761,Yes,Yes,No,-,-,-,-,-,-,Yes,501,"1,141",556,-,-,-,-,-,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,12,No,No,-,,Yes,Yes,No,Yes,-,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,-,No,-,-,Not Detected,Not Detected
Sterling Mccall Hyundai,92,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$5M - $10M,$1K - $5K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,WordPress.org,"Google Analytics,Clicky",Yes,Yes,Yes,5234,4.3,No,-,-,11 to 50,0,0,0,50,No,Yes,Yes,No,274.833s,WordPress.org,Medium,No,"YouTube, Vimeo",Not Detected,Not Detected,Not Detected,100,Yes,95,22,Yes,"16Y, 2M",94,Yes,"1,006","4,524",Yes,523,"1,293",Yes,Yes,No,-,-,-,-,-,-,Yes,545,113,18,,,,,,,,,,,,,,No,-,-,No,No,50,Yes,$1K - $5K,110,No,Yes,,,Yes,Yes,No,Yes,-,-,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Insight Marketing Design,92,Yes,Advertising,Advertising Agencies,"Oct, Nov, Dec",$0.00k,1,Commercial,$2.5M - $5M,$1K - $5K,>10Y,B2B,"Fall, Halloween, Veterans Day, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,2,5,No,-,-,11 to 50,0,0,0,20,-,Yes,No,No,404s,WordPress.org,Medium,No,Vimeo,Not Detected,Not Detected,Not Detected,22,Yes,90,42,Yes,"22Y, 1M",100,Yes,"2,381",397,Yes,"1,560","1,921",Yes,Yes,Yes,128,61,95,7,No,No,Yes,88,354,218,,,,,,,,,,,,,,No,-,-,No,No,55,Yes,$1K - $5K,0,Yes,No,,,No,No,No,No,-,-,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Elastec,92,Yes,Organizations & Associations,Manufacturers,,,6,Commercial,$25M - $50M,$5K - $20K,>10Y,B2C,-,No,WordPress.org,Google Analytics,Yes,Yes,-,-,-,No,-,-,-,0,0,0,90,No,Yes,No,No,273.344s,WordPress.org,Medium,No,Vimeo,Outlook,Not Detected,Not Detected,80,Yes,90,-,Yes,"28Y, 2M",94,Yes,"1,104",42,Yes,253,377,Yes,Yes,No,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,3,Yes,No,,,No,No,No,Yes,1737,-,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-,-,-,Not Detected,Not Detected
Reproductive Medicine Institute,92,Yes,Physicians - Fertility & Sterility,Physicians & Surgeons Md Reproductive Endocrinology Infertility & Genetic Counseling,"Nov, Dec",$382.53k,4,Commercial,$10M - $25M,$0 - $1K,>10Y,B2C,"Fall, Veterans Day, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,106,3.9,Yes,2,No,101 to 200,0,0,0,50,No,Yes,Yes,No,1651.377s,WordPress.org,Medium,No,YouTube,Not Detected,Not Detected,Not Detected,73,Yes,90,16,Yes,"15Y, 3M",94,Yes,"1,298",166,Yes,67,115,Yes,Yes,No,-,-,-,-,-,-,Yes,558,"1,213",311,,,,,,,,,,,,,,No,-,-,No,No,46,-,-,-,No,No,,,No,No,No,No,-,-,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Quality Cooling & Heating,92,Yes,"Heating, Ventilation & Air Conditioning",Heat Pumps Retail,"Aug, Nov, Dec",$1636.85k,5,Commercial,$5M - $10M,$0 - $1K,-,B2B,"Summer, Fall, Veterans Day, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,2144,4.9,Yes,-,No,11 to 50,0,0,0,50,-,Yes,No,No,183s,WordPress.org,Medium,No,YouTube,Not Detected,Not Detected,Not Detected,38,Yes,86,10,Yes,"23Y, 3M",100,Yes,13,11,Yes,-,-,Yes,Yes,Yes,-,-,-,-,No,No,Yes,243,116,41,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,0,Yes,No,-,No,Yes,No,No,Yes,-,-,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Lafontaine Buick Gmc Highland,92,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,-,$1K - $5K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt",Google Analytics,Yes,Yes,Yes,4257,4.6,Yes,2,-,1 to 10,101,3.4,8,50,No,Yes,Yes,No,391.956s,"Joomla, DealerOn, Bolt",Medium,Yes,YouTube,Not Detected,iPerceptions,Not Detected,74,Yes,90,17,Yes,"18Y, 8M",94,Yes,"4,030","6,126",Yes,"1,012","5,698",Yes,Yes,No,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,55,Yes,$1K - $5K,1,Yes,No,,,Yes,No,No,Yes,553,-,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
